Issue ID,Issue Type,Summary,Epic Name,Epic Link,Component,Labels,Priority,Severity,Assignee,Automation,Description
MFQA-1,Epic,Pre-Production Testing — MediFlow v2 v1 Launch,MediFlow v2 Pre-Prod Testing,,All,launch-blocker,P0 Highest,,QA,,Verify every patient and doctor flow across web and mobile plus security payments video messaging email and ops readiness; sign off against launch exit criteria before production deploy. Full detail in docs/qa/PreProductionTestPlan.md.
MFQA-10,Test,Email-OTP login signup-on-first-login and logout (Web),,MFQA-1,Auth,web patient e2e-covered,P0 Highest,,Both,e2e/auth.spec.ts,New email auto-provisions as patient; role landing correct; logout fully clears session. See plan MFQA-10.
MFQA-11,Test,Doctor clinic sign-in gate and role routing (Web),,MFQA-1,Auth,web doctor e2e-covered,P0 Highest,,Tester B,e2e/auth.spec.ts,Only role=doctor admitted at /doctor/login; patient blocked; / routes by role. See plan MFQA-11.
MFQA-12,Test,Google sign-in optional provider (Web),,MFQA-1,Auth,web patient third-party,P2 Medium,,Tester A,none,Google button appears when GOOGLE_* set and completes OAuth; hidden when unset. See plan MFQA-12.
MFQA-20,Test,Unauthenticated API rejection (401) across protected routes,,MFQA-1,Security/AuthZ,api e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/authorization.spec.ts route-guards.spec.ts,Every protected endpoint rejects anonymous with 401 no leakage. See plan MFQA-20.
MFQA-21,Test,Doctor-only routes reject patients (403) and patient IDOR protection,,MFQA-1,Security/AuthZ,api e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/route-guards.spec.ts idor.spec.ts,Patient cannot reach doctor routes (403) or read/mutate another patient resource. See plan MFQA-21.
MFQA-22,Test,Input validation on booking follow-up refill payloads (400),,MFQA-1,Security/AuthZ,api e2e-covered,P1 High,,Tester B,e2e/api/validation.spec.ts,Malformed payloads rejected 400 (zod) no row written. See plan MFQA-22.
MFQA-23,Test,Realtime socket token HMAC validity expiry refresh CORS,,MFQA-1,Security/AuthZ,api unit-covered third-party,P1 High,,Both,src/lib/realtime-token.test.ts,15-min HMAC tokens verify/reject/refresh; browser Origin gated native exempt. See plan MFQA-23.
MFQA-24,Test,Production env safety audit check:env:strict and CRON_SECRET,,MFQA-1,Security/AuthZ,launch-blocker deployment,P0 Highest,,Both,scripts/check-production-env.ts,Strict env audit passes; reminder endpoint 401 without secret 200 with it. See plan MFQA-24.
MFQA-30,Test,Doctor profile setup (specialty bio fee slot-length timezone),,MFQA-1,Clinical/Encounter,web doctor,P1 High,,Tester B,none,Profile auto-provisions; fee (paise) slot length timezone persist and drive slots/receipts. See plan MFQA-30.
MFQA-31,Test,Weekly availability rules plus overrides drive live slot computation,,MFQA-1,Booking,web doctor e2e-covered,P0 Highest,,Tester B,e2e/booking.spec.ts slots.test.ts,Slots computed at query time from rules minus overrides minus bookings; block removes extra adds. See plan MFQA-31.
MFQA-32,Test,Doctor week schedule view (availability plus bookings),,MFQA-1,Clinical/Encounter,web doctor,P2 Medium,,Tester B,none,/doctor/schedule places bookings in correct day/time. See plan MFQA-32.
MFQA-40,Test,Booking intake visit-reason symptoms report-upload triage consent,,MFQA-1,Booking,web patient unit-covered,P0 Highest,,Tester A,src/lib/triage.test.ts,Intake captures reason/symptoms optional report; red-flag triage; consent required version server-stamped. See plan MFQA-40.
MFQA-41,Test,Slot hold 10-min expiry and refresh-safe resume,,MFQA-1,Booking,web patient,P0 Highest,,Tester A,partial,Slot held 10 min; ?appointment resume; expiry 410 restart at intake frees slot. See plan MFQA-41.
MFQA-42,Test,Payment mock Razorpay Checkout signature-verify webhook-authoritative,,MFQA-1,Payments,web patient third-party launch-blocker,P0 Highest,,Tester A,src/lib/payments.test.ts,Razorpay popup opens; signature verified; webhook authoritative even if tab closed; failure no confirm. See plan MFQA-42.
MFQA-43,Test,Double-booking concurrency exactly one of two racing bookings wins,,MFQA-1,Booking,api e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/concurrency.spec.ts booking.test.ts,uq_appointments_doctor_slot final guard; loser 409; expired holds cancelled pre-insert. See plan MFQA-43.
MFQA-44,Test,Booking confirmation plus email plus resume summary,,MFQA-1,Booking,web patient e2e-covered,P1 High,,Tester A,e2e/booking.spec.ts,Confirmation summary correct; confirmation email sent (Resend/console). See plan MFQA-44.
MFQA-45,Test,Patient appointment list detail cancel(2h) reschedule receipt,,MFQA-1,Booking,web patient unit-covered,P1 High,,Tester A,src/lib/call-window.test.ts booking.test.ts,List/detail; cancel only >=2h; reschedule via slot dialog; printable receipt. See plan MFQA-45.
MFQA-46,Test,Call join window pre-join device-check token authorization (Web both ends),,MFQA-1,Video/Consult,web third-party launch-blocker,P0 Highest,,Both,src/lib/call-window.test.ts,Join 10min early 30min late; participant+status gated token; two-way media two devices; unconfigured 503. See plan MFQA-46.
MFQA-47,Test,Encounter SOAP autosave plus returning-patient history,,MFQA-1,Clinical/Encounter,web doctor e2e-covered,P1 High,,Tester B,e2e/consult.spec.ts,SOAP debounced autosave flush on tab-hide; history panel + badge scoped to patient. See plan MFQA-47.
MFQA-48,Test,Prescription draft to issue locks forever edit-after-issue 409,,MFQA-1,Prescriptions,web doctor e2e-covered launch-blocker,P0 Highest,,Tester B,e2e/consult.spec.ts,Draft then issue locks permanently behind confirm; later edit 409; patient sees issued Rx. See plan MFQA-48.
MFQA-49,Test,Outcome mark completed / no-show with safety confirms,,MFQA-1,Clinical/Encounter,web doctor,P1 High,,Tester B,none,Irreversible outcomes need confirm; no-show separated; patient label mapping (Missed vs No-show). See plan MFQA-49.
MFQA-50,Test,Patient prescriptions list and permanence,,MFQA-1,Prescriptions,web patient,P2 Medium,,Tester A,none,All issued Rx listed permanently with detail. See plan MFQA-50.
MFQA-51,Test,Refill requests patient create (no dup pending) doctor fulfil/decline,,MFQA-1,Prescriptions,web e2e-covered,P1 High,,Both,e2e/api/refills-followups.spec.ts,Refill request no duplicate pending; doctor fulfils via async consult or declines. See plan MFQA-51.
MFQA-52,Test,Follow-ups doctor recommends only owning patient acts inDays validated,,MFQA-1,Clinical/Encounter,web e2e-covered,P1 High,,Both,e2e/api/refills-followups.spec.ts validation.spec.ts,Doctor recommends follow-up; only owner acts; out-of-range inDays 400. See plan MFQA-52.
MFQA-53,Test,Doctor work queue and patient roster/record,,MFQA-1,Clinical/Encounter,web doctor,P1 High,,Tester B,none,Work queue categories+counts; roster search/needs-attention filter; patient record panels. See plan MFQA-53.
MFQA-60,Test,Care checkout and activation (mock) configurable price status,,MFQA-1,Care Subscription,web patient,P1 High,,Tester A,none,Doctor-set price shown; mock checkout activates 1-month period; status card + unlocks reflect. See plan MFQA-60.
MFQA-61,Test,Care cancellation pro-rated deduction/refund breakdown,,MFQA-1,Care Subscription,web patient unit-covered,P1 High,,Tester A,src/lib/care-subscription-policy.test.ts,Pro-rated breakdown used non-refundable remainder refunded (7 working days) UI==server. See plan MFQA-61.
MFQA-62,Test,Care follow-up credit one per period doctor fulfil/dismiss,,MFQA-1,Care Subscription,web e2e-covered,P1 High,,Both,e2e/api/care-plan.spec.ts,Exactly one monthly follow-up credit; second in-period blocked; doctor fulfils. See plan MFQA-62.
MFQA-63,Test,Doctor Care management count members admin-toggle badges,,MFQA-1,Care Subscription,web doctor,P2 Medium,,Tester B,none,/doctor/care count+members+toggle; subscriber badge across detail list messages. See plan MFQA-63.
MFQA-70,Test,Messaging gate active Care subscription only (paid consult does not unlock),,MFQA-1,Messaging/Realtime,web e2e-covered launch-blocker,P0 Highest,,Both,e2e/api/care-plan.spec.ts chat-policy.test.ts,Only active subscriber can message; paid consult alone does not; expired period revokes. See plan MFQA-70.
MFQA-71,Test,Messaging send/receive pagination read-receipts unread counters,,MFQA-1,Messaging/Realtime,web,P1 High,,Both,none,REST-persisted; page size 30 cursor; recipient unread increments; open clears + stamps read. See plan MFQA-71.
MFQA-72,Test,Messaging attachments bound to conversation plus uploader (IDOR),,MFQA-1,Messaging/Realtime,web api unit-covered launch-blocker,P0 Highest,,Both,src/lib/chat-policy.test.ts idor.spec.ts,Attachment only usable by uploader in its own conversation; leaked id cannot read others file. See plan MFQA-72.
MFQA-73,Test,Realtime live delivery token-refresh REST fallback when socket down,,MFQA-1,Messaging/Realtime,web third-party,P1 High,,Both,none,Socket live delivery via LISTEN/NOTIFY; REST fallback on socket down; reconnect refresh. See plan MFQA-73.
MFQA-80,Test,Transactional email OTP booking-confirmation reminder-cron,,MFQA-1,Email/Notifications,third-party deployment,P1 High,,Both,none,OTP+confirmation+reminder deliver via Resend; cron protected by CRON_SECRET; console fallback in dev. See plan MFQA-80.
MFQA-81,Test,Medical report upload plus participant-aware download authorization,,MFQA-1,Security/AuthZ,web api,P1 High,,Tester A,e2e/api/idor.spec.ts,Upload PDF/JPEG/PNG; only owner patient or appointment doctor downloads; wrong-type/oversize rejected. See plan MFQA-81.
MFQA-90,Test,Mobile auth plus role routing (Expo Go),,MFQA-1,Mobile,mobile expo-go,P1 High,,Both,none,OTP login+verify SecureStore session role tab routing; cookie fetch to LAN dev server. See plan MFQA-90.
MFQA-91,Test,Mobile patient flows (Expo Go) full set,,MFQA-1,Mobile,mobile patient expo-go,P1 High,,Tester A,none,Home book(mock-pay) appts reschedule/cancel prescriptions profile receipt settings Care mirror web. See plan MFQA-91.
MFQA-92,Test,Mobile doctor flows (Expo Go) full set,,MFQA-1,Mobile,mobile doctor expo-go,P1 High,,Tester B,none,Dashboard appts encounter/SOAP/Rx patients schedule work-queue refills Care settings on device. See plan MFQA-92.
MFQA-93,Test,Mobile messaging/chat (Expo Go),,MFQA-1,Mobile,mobile expo-go,P1 High,,Both,none,Care-gated chat live delivery pagination PDF open read state; non-subscriber locked; REST fallback. See plan MFQA-93.
MFQA-94,Test,Mobile native Razorpay Checkout (EAS dev build) BLOCKED until build,,MFQA-1,Mobile,mobile eas-build third-party launch-blocker,P2 Medium,,Tester A,none,Real Razorpay sheet completes booking in native build; not in Expo Go. Blocked without EAS build. See plan MFQA-94.
MFQA-95,Test,Mobile native LiveKit video media (EAS dev build) BLOCKED until build,,MFQA-1,Mobile,mobile eas-build third-party launch-blocker,P2 Medium,,Both,none,Native LiveKit two-way media in native build; Expo Go reaches token+pre-join only. Blocked without EAS build. See plan MFQA-95.
MFQA-100,Test,Loading skeletons error/empty states toasts reduced-motion boot-loader,,MFQA-1,Cross-cutting/UX,web mobile regression,P2 Medium,,Both,none,Every (app) route skeleton; async feedback toasts; reduced-motion respected; empty/error render. See plan MFQA-100.
MFQA-101,Test,Design-system conformance vs docs/Design.md web+mobile parity,,MFQA-1,Cross-cutting/UX,web mobile,P2 Medium,,Both,none,Fonts colors (cobalt/violet no teal) spacing glass/motion match Design.md; deviations S4/S5 bugs. See plan MFQA-101.
MFQA-500,Bug,[Payments] Verify webhook idempotent under duplicate payment.captured,,MFQA-1,Payments,launch-blocker third-party,P0 Highest,S1 Blocker,Tester A,src/lib/payments.test.ts,Verification placeholder: replayed webhook must not double-confirm/charge. Link MFQA-42. Close if not reproduced.
MFQA-501,Bug,[Booking] Expired-hold lazy-cancel leaves no orphan pending_payment row,,MFQA-1,Booking,,P1 High,S2 Critical,Tester A,e2e/api/concurrency.spec.ts,Verification placeholder: confirm no orphan rows after hold expiry+lazy cancel. Link MFQA-41/43.
MFQA-502,Bug,[Messaging] Deactivating Care mid-conversation revokes thread access immediately,,MFQA-1,Messaging/Realtime,,P1 High,S2 Critical,Both,src/lib/chat-policy.test.ts,Verification placeholder: deactivate Care then confirm thread inaccessible. Link MFQA-70.
MFQA-900,Task,[Deployment] Execute production deploy per docs/Deployment.md,,MFQA-1,Deployment/Ops,launch-blocker deployment,P0 Highest,,Both,,Neon+db:push; Vercel env all keys no local URLs; live LiveKit/Razorpay/Resend; register webhook; domain+BETTER_AUTH_URL; check:env:strict.
MFQA-901,Task,[Deployment] Doctor seed / promote in production,,MFQA-1,Deployment/Ops,launch-blocker deployment,P0 Highest,,Both,,Doctor signs in once then promote-doctor; set fee/slot/timezone+availability. Blocks real bookings.
MFQA-902,Task,[Deployment] Host realtime chat server and wire NEXT_PUBLIC_REALTIME_URL,,MFQA-1,Deployment/Ops,deployment third-party,P1 High,,Both,,Deploy realtime/server.ts to persistent Node host with shared REALTIME_SECRET port origins; TLS to wss; verify GET / = realtime ok.
MFQA-903,Task,[Messaging] Add realtime socket-delivery E2E coverage,,MFQA-1,Messaging/Realtime,e2e-covered,P2 Medium,,Both,,Only unit coverage today; add e2e asserting live cross-client delivery + REST fallback.
MFQA-904,Task,[Care] Decide and implement refund-on-cancellation policy for consultations,,MFQA-1,Payments,third-party,P1 High,,Tester A,,Consultation refund-on-cancel is policy-undecided/not built; decide then implement or document deferral. (Care-plan refund already done.)
MFQA-905,Task,[Mobile] Produce EAS development build for native payment + LiveKit testing,,MFQA-1,Mobile,eas-build mobile,P1 High,,Both,,Unblocks MFQA-94 (native Razorpay) and MFQA-95 (native LiveKit media).
MFQA-906,Task,[Notifications] Confirm production scheduler invokes /api/cron/reminders,,MFQA-1,Deployment/Ops,deployment,P1 High,,Both,,vercel.json declares 10-min cron; verify it runs with CRON_SECRET and a real reminder fires post-deploy.
MFQA-907,Task,[Care] Weekly Care digest email (Resend) build assembler + cron,,MFQA-1,Care Subscription,third-party,P3 Low,,Tester B,,Deferred/not built; track for post-launch.
MFQA-908,Task,[Mobile] Push notifications for new messages (expo-notifications),,MFQA-1,Mobile,mobile,P3 Low,,Both,,Not implemented; chat only updates while open; track post-launch.
MFQA-909,Task,[Ops] Object-storage plan for report + chat-attachment bytea growth,,MFQA-1,Deployment/Ops,deployment,P3 Low,,Both,,Reports+attachments stored inline as bytea; document S3/R2 swap trigger (isolated in reports.ts + routes).
